"date","open_day","close_day","high_day","low_day","volume_day"
394,234.5,226.85,237.22,226.14,32164.3057113
395,226.78,218.62,229.1,213.92,41786.44869209
396,218.52,227,232.49,217.72,40313.64299003
397,227,224.33,227.8,222.16,20780.3620379699
398,224.33,238.17,240.89,224.13,47413.07279655
399,237.91,221.99,238.5,219.71,37356.89601054
400,221.98,225.51,226.18,221.32,26010.5838246199
401,225.52,222.84,227,222.64,19140.85964883
402,222.85,225.81,229.23,222.65,23107.4381431699
403,225.81,224.96,227,222.29,23139.3801039999
404,224.98,231.02,232.07,224.96,35833.9611800599
405,231.1,230.05,231.3,227.48,18191.50119997
406,230.05,229.45,231.34,229,15220.31694159
407,229.49,233.12,235.44,228.4,18912.77187324
408,233.1,240.05,241.45,233.07,29041.31832723
409,240.02,254.28,256,239.07,59626.0284790601
410,254.28,250.71,259.1,243,45290.57392936
411,250.78,247.36,253.7,246,26302.48366595
412,247.35,245.29,247.36,240,32819.49662016
413,245.29,247.58,247.51,241.09,18874.82466811
414,247.39,243.86,247.99,242,19830.67609073
415,243.86,242.29,243.86,239,22019.20722508
416,242.34,244.99,245.54,240.5,15292.58248553
417,244.9,248.44,252.06,244.9,26499.36049537
418,248.44,256.89,257.74,248.15,37631.21560094
419,256.89,259.45,269,256.89,48784.47331398
420,259.45,257.23,262.61,252.77,26748.43052042
421,257.21,255.38,257.35,252.11,19138.36126815
422,255.38,261.3,264.12,253.57,15068.09719771
423,261.43,272.27,276.79,258,62786.39691852
424,272.09,268.99,278.69,265.4,48679.8362730099
425,268.99,270.98,274.11,262.61,35575.92078355
426,270.87,270.5,274,265.41,30617.8192674
427,270.53,292.4,296.1,268.58,77188.5359825901
428,292.14,293.81,299.56,282.7,52922.9933972399
429,293.8,308.5,316.23,291.81,60526.08755802
430,308.8,291.7,312,281.5,76393.80940855
431,291.57,291.28,297.25,286,25977.63449173
432,291.26,288.05,295,283.51,31764.40605472
433,288.04,275.16,288.14,275,48652.4916160599
434,275,282.74,283.33,272,25167.08748652
435,282.34,276.13,283.18,275.12,14417.2271998301
436,276.13,280.71,282.1,273.5,17895.45260886
437,280.71,277.49,281.22,274.5,14918.9955602799
438,277.5,276.56,278.44,275.56,10257.75052686
439,276.23,288.23,289.93,276.02,25664.8112543899
440,288.13,288.72,292.35,286.39,11488.7953098299
441,288.73,291.49,294.57,288.12,12302.7896727899
442,291.49,295.64,298.93,286,28391.22641482
443,295.64,291.51,297,286.02,18877.92853318
444,291.5,288,292.71,284.01,17070.95106232
445,287.99,282.12,289.85,281,15919.0682902501
446,282.01,280.77,282.05,276.26,19360.60972679
447,280.99,284.5,287.05,279.7,18748.73821989
448,284.49,283.69,285.94,281.49,15649.13075591
449,283.69,277.5,284.11,277.51,14169.24638583
450,277.67,271.07,281,266,36272.5547198
451,271.09,263.31,271.29,260.62,30778.4774883799
452,263.37,267,267.72,262.17,16668.63795034
453,266.99,268.36,273.75,265.6,21363.47504167
454,268.35,264.88,270.09,263.33,17079.3837581101
455,264.83,266.64,268.97,262.13,16594.16228056
456,266.67,259.95,266.67,256.5,35155.80822559
457,259.95,255.23,262.37,253.5,20924.90914917
458,255.06,224.14,255.24,162,149851.72748695
459,224.12,234.92,237.94,221.49,31978.50708708
460,234.88,224.63,236.43,221.77,25542.13007249
461,224.63,218.28,232.9,211.56,32912.58766284
462,218.3,218.5,222.64,196.6,86574.9461124101
463,218.5,226.31,232.38,218.27,43689.45959629
464,226.3,224.54,229.5,220.11,21155.10694166
465,224.54,228.85,238.9,224.16,27087.02287161
466,228.98,227.39,233.96,225.2,14144.42031849
467,227.42,227.63,233.69,226.55,16519.39552168
468,227.63,228.4,231.89,226.51,13791.3204481
469,228.41,230.57,231.66,226.1,15230.86695445
470,230.63,240.62,248.48,230.05,29849.85920641
471,240.63,242.09,244.77,239.03,11457.61357212
472,242.1,240.72,247.68,238.38,23734.36621081
473,240.72,240,241.9,237.01,17563.59200448
474,240,235.8,242.89,228.42,18165.27918175
475,235.82,232.69,236.47,228.4,17627.63203561
476,232.6,228.53,232.93,227.33,15832.42979344
477,228.55,235.06,236.26,227.88,16917.7862499201
478,235.06,232.81,235.13,227,11939.42733883
479,232.8,228.4,233.2,224.25,19754.76756168
480,228.38,233.01,233.95,228.38,16355.7208030201
481,233.01,235.24,237.7,231.74,23747.22699509
482,235.4,239.17,240,233,14419.77838333
483,239.27,238.14,241.5,236.61,15507.23756409
484,238.35,238.7,240.09,235.11,11533.32079326
485,238.71,239.91,241.11,237.33,12109.05430421
486,239.91,243.67,244.3,236.24,17531.2841346201
487,243.58,245.14,249.01,243.5,21459.32856124
488,245.16,245.12,245.63,242.62,10689.59382735
489,245.12,247,248.73,243.75,11473.5936332601
490,247.08,251.9,253.43,244,21878.56145736
491,251.89,256.85,257.5,251.7,17638.66447267
492,256.43,271.5,272.75,255.71,39096.58017556
493,271.73,263.55,275.19,263.3,38032.3783958099
494,263.46,267.63,268.28,262.35,15976.04112029
495,267.63,268.59,273.97,264.1,20761.95210575
496,268.59,278.88,280.5,267.3,35008.9252556001
497,278.88,280.88,282.4,275.36,18850.19696695
498,280.87,286.12,295.99,280.87,47716.26470581
499,285.62,296.59,298.48,282.25,33367.19019643
500,296.6,303.87,307.99,292.1,41914.32464153
501,303.87,323.9,326,301.5,60813.42376594
502,323.79,333.62,336,314,60198.40653354
503,333.47,319.01,334.49,307.2,45667.0373430699
504,319.01,340.6,343.72,316,36743.15838503
505,340.53,394.58,398,336.76,119829.48540955
506,394.57,498.91,504,375.02,220551.05307181
507,500.9,398.9,500.9,366.66,259773.70027205
508,398.98,374.59,419.5,351.2,119744.25316766
509,374.77,383.95,396.78,365,65267.20024215
510,384.07,381,391.99,375.01,30057.12009122
511,381.01,384,388.99,360,47876.56706259
512,384,337.2,384.44,327.02,94570.6832688899
513,337.2,321.01,337.22,300.28,118138.41750614
514,321.01,338.99,346.44,316.13,56444.6987218799
515,338.99,335.47,343.75,326.22,32204.41210408
516,335.75,323.71,340.36,315,36856.8480943
517,324.05,331.35,335,315.19,33767.44010134
518,331.36,334.77,342.5,331.05,30320.19656114
519,334.52,326.94,338.99,325.42,24342.1152782
520,326.94,318.61,330.25,309.46,35626.5160676099
521,318.61,323.66,329.35,318.31,15423.5620961
522,323.26,321.42,327.5,315.55,16046.55180775
523,321.9,328.94,329.55,316.02,21356.9828803
524,328.85,349.41,369.9,328.07,81011.70158026
525,349.69,355.97,367,348.18,45706.1607032501
526,355.97,362.8,367.32,351.11,25164.98420854
527,362.8,373.48,384.99,362.33,54179.7717642799
528,373.49,363.08,380.49,353.1,51400.14905421
529,363.09,367.7,371.5,346.13,41060.4202186599
530,367.69,357.93,370.02,352.25,25856.9939810699
531,357.77,378.66,384.8,357.07,38356.17290558
532,378.66,400.99,407.57,376.33,67365.1889402401
533,400.34,396.55,404.24,384.53,39825.2751291499
534,396.6,418.38,422.39,388.37,43183.42581431
535,418.76,415,426.59,405,48469.8594696499
536,415.1,434.96,437.5,411.09,40688.14177724
537,434.79,423.6,475.04,402.5,130175.51941794
538,423.06,434,440.8,415.24,43583.24640368
539,434.24,447.65,450,427.3,36385.28335012
540,447.65,459.5,464.93,441,40118.5282504099
541,459.5,453.77,469.99,440,72457.4662424801
542,453.96,454.5,458.56,446.21,21188.97951469
543,454.51,464.36,467,450.1,30795.6671721099
544,464.34,457.26,466.47,452,23007.2192986099
545,457.22,437.11,457.82,424.37,71679.6342014399
546,437.1,437.99,443.64,432.01,26762.26559881
547,437.45,455.9,456,433.01,27628.9780067
548,455.9,451.6,460,445,19880.65129317
549,451.6,423.78,460.05,413,66393.8533303
550,423.58,419.37,425.43,405.5,59664.90114983
551,419.03,418.3,429,417.01,27582.38449365
552,418.3,432.48,433.55,417.33,25406.43645592
553,432.2,418.41,434,418,24486.05163554
554,418.4,433,436.49,412.5,28879.93899899
555,433,429.68,435.8,427.32,13204.18182701
556,429.7,432.78,434.45,421.73,23775.5752217199
557,432.49,428.35,435.67,425.03,18220.28280491
558,428.36,450.69,454.9,427.03,41608.45778054
559,450.71,455.35,465,450.71,39585.10200745
560,455.37,451.27,456.5,446.55,18311.5886818
561,451.31,450.69,452.49,441.01,18396.67763646
562,450.68,446.65,450.69,443.42,17969.30809882
563,446.65,427.19,448.1,416,42565.84392922
564,427.2,421.33,435,419.66,26235.66853482
565,421.35,376.79,423.29,357.02,137950.45366343
566,376.81,386.01,393.31,352.5,58576.80818586
567,386.01,384.4,389.74,375.01,22567.80380666
568,384.4,379.66,390,378.29,21763.29162241
569,379.6,408.71,420,375.01,69456.41125911
570,408.87,409,428,405,48681.2125037
571,409.01,387.9,410,371.25,69556.31011011
572,387.66,399.43,403,379.85,21881.99883308
573,399.42,391.27,407.33,388.61,29198.28388846
574,391.27,391.6,398,384,21452.54468243
575,391.62,382.8,396.99,375.01,25068.37989958
576,382.81,379.42,386,360.03,56307.8675742
577,379.2,376.63,381.8,370.54,25006.87379294
578,376.77,376.19,379.27,362.57,28482.11313734
579,376.18,373.49,378.26,367.52,19728.74316388
580,373.43,371.53,374.17,365.65,16798.96203959
581,371.53,386.49,393.89,370.2,41555.04897503
582,386.49,371.65,393,365,49029.0342966001
